actividad,cantidad,estatus,pais,genero
Farming,375,in_repayment,Cambodia,F
Cereals,325,paid,Mali,M
Clothing,425,in_repayment,Mali,M
Property,1125,paid,Philippines,F
Food Production/Sales,1425,in_repayment,Vietnam,F
Restaurant,450,paid,Philippines,F
Farming,1075,in_repayment,Cambodia,F
Farming,500,in_repayment,Cambodia,F
General Store,225,paid,Philippines,F
General Store,125,paid,Philippines,F
Cloth & Dressmaking Supplies,425,paid,Mali,F
General Store,350,paid,Kenya,F
Motorcycle Transport,1225,in_repayment,Kenya,F
Vehicle,500,in_repayment,Cambodia,F
Cloth & Dressmaking Supplies,325,paid,Mali,F
Clothing Sales,2375,in_repayment,Jordan,F
Services,350,paid,Philippines,F
Farming,500,in_repayment,Cambodia,F
Cattle,750,in_repayment,Kyrgyzstan,F
Personal Housing Expenses,500,paid,Kosovo,F
Clothing Sales,850,in_repayment,Yemen,F
Personal Products Sales,5000,in_repayment,Costa Rica,F
Poultry,1000,in_repayment,Colombia,F
Agriculture,1000,in_repayment,Colombia,M
Services,250,paid,Kenya,M
Agriculture,1500,in_repayment,Honduras,F
Higher education costs,1700,in_repayment,Cambodia,M
Sewing,750,in_repayment,Senegal,F
Fruits & Vegetables,350,paid,Kenya,F
Food Stall,125,paid,Kenya,F
General Store,250,in_repayment,Kenya,M
Pigs,475,paid,Philippines,F
Education provider,725,in_repayment,Armenia,F
Transportation,200,in_repayment,Colombia,M
Pigs,1225,in_repayment,Colombia,M
Farming,250,paid,Kenya,F
Home Energy,150,in_repayment,Cambodia,F
Farming,125,in_repayment,Kenya,F
Grocery Store,500,paid,Colombia,F
Farming,1000,in_repayment,Cambodia,F
Retail,375,in_repayment,Cambodia,F
Machinery Rental,575,paid,Philippines,F
Personal Housing Expenses,950,paid,Yemen,F
Farming,500,in_repayment,Cambodia,M
Retail,900,in_repayment,Philippines,M
Farming,1000,in_repayment,Cambodia,F
Transportation,125,paid,Philippines,F
Farming,500,in_repayment,Cambodia,F
Farming,300,paid,Philippines,F
General Store,225,paid,Philippines,F
Clothing Sales,3000,in_repayment,Tajikistan,F
Pigs,200,paid,Philippines,M
Higher education costs,225,in_repayment,Philippines,M
Motorcycle Transport,925,in_repayment,Kenya,M
General Store,125,paid,Philippines,F
Butcher Shop,350,in_repayment,Kenya,M
Farming,725,in_repayment,Armenia,M
General Store,900,paid,Philippines,F
Plastics Sales,500,paid,Colombia,F
Services,5925,in_repayment,Uganda,F
Farming,950,in_repayment,Kenya,M
Pigs,375,paid,Philippines,F
Poultry,450,paid,Philippines,F
Farming,1250,in_repayment,Tajikistan,F
Livestock,175,in_repayment,Kenya,F
Poultry,350,paid,Philippines,F
General Store,575,paid,Philippines,F
Clothing Sales,1225,in_repayment,Armenia,F
Wholesale,1200,paid,Uganda,M
Retail,175,paid,Mozambique,F
Soft Drinks,500,in_repayment,Mozambique,F
Retail,650,in_repayment,Senegal,F
Barber Shop,850,in_repayment,Lebanon,M
Metal Shop,525,in_repayment,Colombia,M
Fishing,275,paid,Philippines,F
General Store,275,paid,Philippines,F
General Store,1600,in_repayment,Mozambique,M
Retail,2250,in_repayment,Mozambique,F
Retail,3075,paid,Senegal,F
Food Stall,525,in_repayment,Colombia,F
General Store,225,in_repayment,Philippines,F
Personal Housing Expenses,1200,in_repayment,Uganda,M
Clothing Sales,225,in_repayment,Mozambique,F
Personal Housing Expenses,975,in_repayment,Mozambique,M
Hardware,4150,paid,Mozambique,M
General Store,500,in_repayment,El Salvador,F
Food Production/Sales,125,paid,Philippines,M
Farming,250,paid,Kenya,F
Transportation,400,in_repayment,Indonesia,M
Higher education costs,125,in_repayment,Philippines,F
Weaving,400,in_repayment,Colombia,F
Food Production/Sales,300,paid,Colombia,M
Personal Housing Expenses,325,paid,Mozambique,M
Dairy,525,in_repayment,Tajikistan,F
Cattle,1050,paid,Tajikistan,F
Weaving,150,paid,Philippines,F
Motorcycle Transport,125,paid,Philippines,M
Manufacturing,500,in_repayment,El Salvador,F
Sewing,100,paid,Philippines,F
Personal Housing Expenses,400,in_repayment,El Salvador,M
Personal Housing Expenses,350,in_repayment,El Salvador,F
Cereals,350,in_repayment,Kenya,F
Animal Sales,425,in_repayment,Tajikistan,F
Fruits & Vegetables,125,paid,Kenya,F
Education provider,600,in_repayment,Uganda,F
Cereals,225,paid,Philippines,F
Personal Products Sales,1000,in_repayment,Colombia,F
Livestock,750,paid,El Salvador,M
Food Stall,1000,paid,El Salvador,F
Bakery,2300,in_repayment,Georgia,F
Sewing,225,in_repayment,Tajikistan,F
Farming,200,paid,Peru,F
Pigs,400,in_repayment,El Salvador,M
Grocery Store,725,in_repayment,Armenia,F
Clothing Sales,1050,in_repayment,Lebanon,F
Personal Housing Expenses,350,in_repayment,El Salvador,F
Arts,475,paid,Turkey,F
Retail,675,paid,Philippines,F
Personal Housing Expenses,975,in_repayment,Mozambique,M
Farming,600,in_repayment,Kenya,F
Higher education costs,250,in_repayment,Philippines,M
Agriculture,250,paid,Kenya,F
General Store,800,in_repayment,El Salvador,F
Higher education costs,300,paid,Colombia,F
Agriculture,725,paid,Peru,F
Clothing Sales,375,in_repayment,Yemen,F
Clothing Sales,250,paid,Kenya,F
Grocery Store,4150,paid,Peru,F
Personal Housing Expenses,1300,in_repayment,Mozambique,F
Higher education costs,225,paid,Colombia,F
Farming,475,in_repayment,Kenya,F
Sewing,225,paid,Tajikistan,F
General Store,350,paid,Philippines,F
Rickshaw,150,paid,Philippines,F
Fish Selling,500,paid,El Salvador,F
Used Clothing,350,in_repayment,Nicaragua,F
Personal Housing Expenses,500,paid,El Salvador,F
Livestock,1300,in_repayment,Kyrgyzstan,F
Livestock,1475,in_repayment,Tajikistan,F
Bakery,325,in_repayment,Tajikistan,F
Farming,600,in_repayment,El Salvador,M
Metal Shop,1600,in_repayment,El Salvador,M
General Store,525,paid,Philippines,F
Livestock,1850,in_repayment,Kyrgyzstan,F
Poultry,2375,in_repayment,Vietnam,F
Weaving,325,paid,Philippines,F
Clothing Sales,600,paid,Georgia,F
Farming,1125,paid,Kyrgyzstan,F
Tailoring,325,in_repayment,Nicaragua,F
Grocery Store,125,paid,Peru,F
Services,2000,in_repayment,Tajikistan,F
Higher education costs,300,paid,Colombia,F
Agriculture,725,paid,Peru,F
Grocery Store,550,paid,Peru,F
Sewing,125,paid,Tajikistan,F
Weaving,150,paid,Philippines,F
Weaving,225,paid,Philippines,F
Farming,1000,paid,Tajikistan,M
Bakery,125,in_repayment,Tajikistan,F
Sewing,225,paid,Tajikistan,F
Renewable Energy Products,525,in_repayment,Kenya,F
Motorcycle Transport,275,paid,Philippines,M
Motorcycle Repair,675,paid,Philippines,M
General Store,175,paid,Philippines,F
Poultry,250,in_repayment,Kenya,F
Personal Medical Expenses,250,paid,Armenia,M
Motorcycle Transport,250,paid,Kenya,M
Animal Sales,225,paid,Tajikistan,F
Soft Drinks,175,in_repayment,Liberia,F
Higher education costs,325,in_repayment,Philippines,F
Higher education costs,750,in_repayment,Vietnam,M
Poultry,1100,in_repayment,Kenya,F
Food Market,250,in_repayment,Liberia,F
Cloth & Dressmaking Supplies,1500,in_repayment,Zimbabwe,F
Transportation,250,paid,Kenya,M
Fruits & Vegetables,1225,paid,Armenia,M
Personal Medical Expenses,1450,in_repayment,Armenia,M
Used Clothing,2000,in_repayment,Albania,F
Farming,400,in_repayment,El Salvador,M
Services,750,in_repayment,El Salvador,F
Food Market,275,in_repayment,Sierra Leone,F
General Store,300,in_repayment,El Salvador,F
Taxi,1050,paid,Tajikistan,F
Retail,3875,paid,Senegal,F
Food Stall,200,paid,Uganda,F
Pigs,175,paid,Nicaragua,F
Grocery Store,1175,paid,Ghana,F
Retail,900,in_repayment,Colombia,F
General Store,400,in_repayment,El Salvador,F
Farming,350,paid,Kenya,F
Food Market,325,in_repayment,Sierra Leone,F
Personal Housing Expenses,1175,in_repayment,Yemen,F
Primary/secondary school costs,1075,paid,Peru,M
Primary/secondary school costs,700,in_repayment,Kenya,F
Education provider,725,in_repayment,Armenia,F
Food Market,125,in_repayment,Sierra Leone,F
Food Production/Sales,350,paid,El Salvador,F
Fruits & Vegetables,550,paid,Peru,F
Bakery,1050,paid,El Salvador,M
Education provider,975,in_repayment,Armenia,F
Personal Housing Expenses,1000,in_repayment,Albania,F
Cosmetics Sales,500,paid,Uganda,F
Higher education costs,9325,in_repayment,Dominican Republic,F
Clothing Sales,850,in_repayment,Armenia,F
Food Production/Sales,275,in_repayment,Sierra Leone,F
Home Products Sales,300,paid,Georgia,F
Agriculture,1000,in_repayment,Albania,M
Wedding Expenses,625,in_repayment,Armenia,M
Food Market,225,in_repayment,Sierra Leone,F
Personal Housing Expenses,400,in_repayment,El Salvador,F
Retail,1925,paid,Senegal,F
Retail,1000,paid,Uganda,M
General Store,950,in_repayment,Vietnam,F
Animal Sales,1075,paid,Peru,F
Manufacturing,475,in_repayment,Vietnam,F
General Store,950,paid,Vietnam,F
Personal Housing Expenses,1000,in_repayment,El Salvador,M
Food Production/Sales,150,in_repayment,Liberia,F
Agriculture,525,in_repayment,Honduras,F
Shoe Sales,1025,paid,Ghana,M
Personal Housing Expenses,400,in_repayment,El Salvador,M
Printing,400,paid,El Salvador,M
Soft Drinks,250,in_repayment,Sierra Leone,F
Personal Housing Expenses,1000,in_repayment,Albania,F
Farming,200,paid,Peru,F
Food Market,300,in_repayment,Sierra Leone,F
Agriculture,525,in_repayment,Honduras,F
Retail,1000,in_repayment,Colombia,F
Retail,5425,paid,Senegal,F
Used Shoes,5275,paid,Burundi,F
Cloth & Dressmaking Supplies,3500,paid,Senegal,F
Animal Sales,1475,in_repayment,India,F
Liquor Store / Off-License,500,paid,Cambodia,F
Charcoal Sales,225,in_repayment,Liberia,F
Pharmacy,950,paid,Vietnam,F
Grocery Store,300,in_repayment,Kenya,M
Beauty Salon,725,paid,Vietnam,F
Fuel/Firewood,825,in_repayment,Vietnam,F
Cosmetics Sales,600,paid,Ghana,F
Higher education costs,225,paid,Colombia,F
Grocery Store,950,paid,Vietnam,F
General Store,175,paid,Sierra Leone,F
Manufacturing,725,in_repayment,Vietnam,F
Agriculture,300,paid,El Salvador,F
Manufacturing,950,in_repayment,Vietnam,F
Agriculture,525,in_repayment,Honduras,F
Dairy,600,paid,Georgia,F
Agriculture,375,paid,Peru,M
Food Stall,925,in_repayment,Sierra Leone,F
Food Market,200,paid,Sierra Leone,F
Clothing,600,paid,Uganda,F
Pharmacy,175,paid,Sierra Leone,F
Food Market,225,in_repayment,Liberia,F
Transportation,2400,in_repayment,Albania,M
Retail,1175,in_repayment,Sierra Leone,F
Food Market,175,paid,Sierra Leone,F
Pub,1200,in_repayment,Uganda,M
Clothing Sales,1175,in_repayment,Sierra Leone,M
Food,5075,paid,Burundi,F
Food,1600,paid,Senegal,F
Embroidery,425,in_repayment,Pakistan,F
Retail,850,in_repayment,Benin,F
Livestock,1075,paid,Senegal,F
Bakery,175,paid,Uganda,F
Fuel/Firewood,200,paid,Sierra Leone,F
Retail,675,paid,Benin,F
Dairy,525,in_repayment,Pakistan,F
Food,550,in_repayment,Benin,F
Primary/secondary school costs,550,in_repayment,Uganda,M
Home Products Sales,425,in_repayment,Pakistan,F
Services,850,in_repayment,Benin,M
Cloth & Dressmaking Supplies,425,in_repayment,Pakistan,F
Fruits & Vegetables,800,paid,Uganda,M
Furniture Making,850,in_repayment,Benin,M
Milk Sales,225,paid,Sierra Leone,F
Rickshaw,575,in_repayment,Pakistan,F
General Store,525,in_repayment,Pakistan,F
Used Clothing,225,in_repayment,Liberia,F
General Store,425,in_repayment,Pakistan,F
Tailoring,575,in_repayment,Pakistan,F
Fuel/Firewood,250,paid,Sierra Leone,F
Dairy,425,in_repayment,Pakistan,F
Health,1200,in_repayment,Albania,F
Milk Sales,425,in_repayment,Pakistan,F
Animal Sales,425,in_repayment,Pakistan,F
Property,625,in_repayment,Nicaragua,M
Personal Housing Expenses,400,in_repayment,El Salvador,M
Agriculture,800,in_repayment,Uganda,M
Plastics Sales,250,paid,Sierra Leone,F
Sewing,425,in_repayment,Pakistan,F
Cloth & Dressmaking Supplies,425,in_repayment,Pakistan,F
Farming,1500,in_repayment,Armenia,F
Food Market,475,paid,Ghana,F
Retail,2125,paid,Senegal,F
Agriculture,1500,in_repayment,Honduras,F
Animal Sales,1250,in_repayment,India,F
Fruits & Vegetables,225,paid,Burkina Faso,F
Cosmetics Sales,1225,paid,Burkina Faso,F
Clothing Sales,1075,paid,Burkina Faso,M
Animal Sales,1250,in_repayment,India,F
Rickshaw,425,in_repayment,Pakistan,F
Agriculture,550,paid,Peru,F
Cereals,1700,paid,Mali,F
Education provider,425,in_repayment,Pakistan,F
Cloth & Dressmaking Supplies,425,in_repayment,Pakistan,F
Food,225,paid,Sierra Leone,F
Food,200,paid,Peru,F
Clothing Sales,2000,paid,Burundi,F
Cereals,1700,paid,Mali,F
Farming,1300,in_repayment,Armenia,F
Retail,500,in_repayment,Nicaragua,M
Fuel/Firewood,900,paid,Burkina Faso,F
Animal Sales,825,in_repayment,India,F
Retail,775,in_repayment,Nicaragua,F
Cereals,1700,paid,Mali,F
Crafts,600,in_repayment,El Salvador,F
Restaurant,1275,paid,Burkina Faso,F
Cattle,1000,in_repayment,El Salvador,F
Animal Sales,1250,in_repayment,India,F
Home Products Sales,200,paid,Sierra Leone,F
Plastics Sales,300,paid,Sierra Leone,F
Cereals,1075,paid,Mali,M
Dairy,2500,in_repayment,Albania,F
Milk Sales,500,paid,El Salvador,M
Clothing Sales,1275,paid,Mali,F
Farming,750,in_repayment,Armenia,F
Clothing Sales,300,paid,Sierra Leone,F
Agriculture,525,in_repayment,Honduras,F
Sewing,925,in_repayment,Kyrgyzstan,F
Retail,175,paid,Togo,F
Food Production/Sales,200,paid,Mali,F
Cereals,225,paid,Mali,F
Restaurant,1700,paid,Mali,F
Personal Housing Expenses,350,in_repayment,El Salvador,F
Grocery Store,525,in_repayment,Nicaragua,F
Agriculture,200,paid,Peru,F
Cereals,1075,in_repayment,Mali,M
Fruits & Vegetables,425,paid,Mali,F
Retail,200,paid,Peru,F
Retail,1000,in_repayment,Colombia,F
Poultry,200,paid,Togo,F
Fruits & Vegetables,650,paid,Mali,F
Grocery Store,400,in_repayment,Nicaragua,F
Agriculture,800,in_repayment,El Salvador,M
Farm Supplies,1500,in_repayment,Honduras,F
Livestock,1700,in_repayment,Armenia,F
Farming,75,paid,Peru,F
Personal Housing Expenses,350,in_repayment,El Salvador,F
Bakery,600,in_repayment,Nicaragua,M
Personal Housing Expenses,350,in_repayment,El Salvador,F
Cattle,1600,paid,El Salvador,M
Motorcycle Transport,375,paid,Philippines,F
Furniture Making,1000,in_repayment,El Salvador,M
Services,1625,paid,Peru,F
Embroidery,2800,in_repayment,Guatemala,F
Cereals,850,paid,Mali,M
Clothing,1075,paid,Mali,F
Food Production/Sales,325,paid,Nicaragua,F
Food Production/Sales,225,paid,Mali,F
Agriculture,1450,in_repayment,Honduras,F
Food Production/Sales,325,paid,El Salvador,F
Agriculture,775,in_repayment,Honduras,F
Soft Drinks,1075,paid,Mali,F
Cattle,875,in_repayment,Georgia,F
Sewing,150,paid,Togo,F
Food,175,paid,Togo,F
Fuel/Firewood,350,paid,Sierra Leone,F
Services,325,paid,Philippines,F
Food Production/Sales,850,paid,Mali,F
Used Clothing,875,in_repayment,Kenya,F
Farming,800,paid,El Salvador,F
Pigs,275,paid,Philippines,F
Sewing,200,paid,Togo,F
General Store,225,paid,Sierra Leone,F
Embroidery,3075,in_repayment,Guatemala,F
Food Production/Sales,500,paid,Mali,F
Personal Housing Expenses,350,in_repayment,El Salvador,F
Restaurant,175,paid,Togo,F
Food,150,paid,Togo,F
Food Production/Sales,125,paid,Sierra Leone,F
Pigs,175,paid,Philippines,F
Agriculture,375,paid,Peru,F
Higher education costs,725,in_repayment,Peru,M
Cereals,4125,paid,The Democratic Republic of the Congo,F
Weaving,325,paid,El Salvador,F
Food Production/Sales,750,in_repayment,El Salvador,F
Restaurant,750,paid,Mali,F
Grocery Store,1200,in_repayment,El Salvador,F
Hotel,175,paid,Kenya,F
Food Production/Sales,1550,paid,Tanzania,F
Food Production/Sales,1200,in_repayment,El Salvador,F
Catering,1025,in_repayment,Bolivia,M
Food Production/Sales,650,paid,Mali,F
Pigs,200,paid,El Salvador,M
Personal Housing Expenses,450,in_repayment,El Salvador,F
Clothing Sales,625,in_repayment,Nicaragua,F
Agriculture,700,in_repayment,El Salvador,F
Home Energy,225,in_repayment,Kenya,F
General Store,300,in_repayment,Nicaragua,F
Food Market,250,paid,Sierra Leone,F
Farming,1600,in_repayment,Armenia,F
Higher education costs,200,paid,Colombia,F
Hotel,1475,in_repayment,Colombia,F
Personal Housing Expenses,975,in_repayment,Nicaragua,F
Personal Housing Expenses,400,in_repayment,Nicaragua,F
Cobbler,325,paid,El Salvador,M
Agriculture,775,in_repayment,Honduras,F
Personal Purchases,350,in_repayment,Nicaragua,F
Food Market,700,in_repayment,Sierra Leone,F
Plastics Sales,500,in_repayment,El Salvador,F
Agriculture,375,in_repayment,Nicaragua,M
Personal Housing Expenses,350,in_repayment,El Salvador,M
Agriculture,1000,paid,El Salvador,M
Taxi,8000,in_repayment,United States,M
Agriculture,300,in_repayment,El Salvador,F
Food Production/Sales,700,paid,El Salvador,F
General Store,350,paid,Philippines,F
Home Products Sales,250,paid,Sierra Leone,F
Personal Housing Expenses,450,in_repayment,El Salvador,F
Bookstore,2075,paid,Peru,F
Home Appliances,375,paid,Peru,M
Clothing Sales,500,in_repayment,El Salvador,F
Food Production/Sales,175,in_repayment,Sierra Leone,F
Personal Housing Expenses,350,in_repayment,El Salvador,M
Home Products Sales,200,paid,Philippines,F
Hardware,1175,paid,Sierra Leone,M
Food Stall,200,paid,Colombia,M
Home Products Sales,375,paid,Sierra Leone,F
Shoe Sales,125,paid,Uganda,F
Electronics Sales,425,paid,Philippines,F
Fish Selling,1175,in_repayment,Sierra Leone,M
Food Market,700,in_repayment,Sierra Leone,F
Textiles,700,in_repayment,Sierra Leone,F
Food Market,300,paid,Sierra Leone,F
Used Shoes,125,paid,Uganda,F
Grocery Store,700,paid,Sierra Leone,F
Food Production/Sales,350,paid,Philippines,F
Fish Selling,550,paid,Philippines,F
Food,925,paid,Sierra Leone,M
General Store,500,paid,El Salvador,F
Higher education costs,875,in_repayment,Armenia,F
Food Market,300,paid,Sierra Leone,F
Farming,2000,in_repayment,Albania,F
Farming,3000,in_repayment,Armenia,F
Personal Housing Expenses,350,in_repayment,El Salvador,F
Pigs,525,in_repayment,Philippines,F
Food Market,1175,in_repayment,Sierra Leone,M
Pigs,400,paid,Philippines,F
Pub,700,in_repayment,Sierra Leone,F
General Store,225,paid,Philippines,F
Fish Selling,1175,in_repayment,Sierra Leone,F
Spare Parts,1175,paid,Sierra Leone,M
Food Production/Sales,125,paid,Sierra Leone,F
Food Production/Sales,300,paid,Philippines,F
Agriculture,1500,in_repayment,Armenia,F
Food Market,700,paid,Sierra Leone,F
Farming,3000,in_repayment,Armenia,F
Weaving,125,in_repayment,Philippines,F
Higher education costs,225,paid,Colombia,F
Personal Medical Expenses,775,in_repayment,Nicaragua,F
Food Production/Sales,600,paid,Nicaragua,F
Liquor Store / Off-License,375,in_repayment,Philippines,F
Pigs,275,paid,Philippines,F
General Store,275,paid,Philippines,F
Farming,150,paid,Philippines,F
Retail,400,paid,Philippines,F
Food Stall,125,paid,Philippines,F
Transportation,225,paid,Philippines,F
Farming,800,in_repayment,Albania,F
Personal Housing Expenses,400,in_repayment,El Salvador,M
Farming,925,in_repayment,Kyrgyzstan,F
Farming,125,paid,Philippines,F
Clothing Sales,300,paid,Philippines,F
Higher education costs,975,in_repayment,Nicaragua,F
Grocery Store,625,paid,Tajikistan,F
General Store,225,paid,Philippines,F
Soft Drinks,225,paid,Philippines,F
General Store,250,paid,Philippines,F
Retail,525,paid,Philippines,F
General Store,900,in_repayment,El Salvador,F
Soft Drinks,150,in_repayment,Liberia,F
Higher education costs,2000,in_repayment,Tajikistan,F
Cosmetics Sales,2075,in_repayment,Sierra Leone,M
Pigs,2200,in_repayment,Vietnam,F
Retail,150,in_repayment,Liberia,F
Food Stall,125,in_repayment,Liberia,F
Fish Selling,200,in_repayment,Liberia,F
Clothing Sales,1400,in_repayment,Sierra Leone,M
Electronics Sales,700,in_repayment,Sierra Leone,M
Personal Housing Expenses,400,paid,Nicaragua,F
Personal Products Sales,275,paid,Philippines,F
Fruits & Vegetables,325,paid,El Salvador,F
Animal Sales,625,paid,Tajikistan,M
Restaurant,175,in_repayment,Liberia,F
Agriculture,1050,in_repayment,Honduras,F
Farming,2425,in_repayment,Vietnam,F
Farming,300,paid,Peru,F
Manufacturing,250,paid,Philippines,F
Higher education costs,225,paid,Colombia,F
Animal Sales,625,paid,Tajikistan,M
Primary/secondary school costs,2000,in_repayment,Iraq,F
Sewing,3000,in_repayment,Iraq,F
Electronics Sales,3000,in_repayment,Iraq,M
Mobile Phones,8000,in_repayment,United States,F
Cosmetics Sales,3000,in_repayment,Iraq,M
Home Products Sales,300,paid,Philippines,F
General Store,225,paid,Philippines,F
Food Production/Sales,225,paid,Philippines,F
Agriculture,725,paid,Peru,M
Retail,2075,paid,Peru,F
Clothing Sales,275,in_repayment,Nicaragua,F
Charcoal Sales,525,paid,Philippines,F
Animal Sales,200,paid,Peru,F
Retail,1075,paid,Mali,M
Fruits & Vegetables,1075,paid,Peru,F
Personal Housing Expenses,725,in_repayment,Vietnam,F
Charcoal Sales,275,paid,Philippines,F
Personal Housing Expenses,725,in_repayment,Vietnam,F
Personal Housing Expenses,725,in_repayment,Vietnam,F
Food Production/Sales,225,paid,Philippines,M
Agriculture,725,paid,Peru,M
Fishing,225,paid,Philippines,F
Fruits & Vegetables,225,paid,Philippines,F
Agriculture,200,paid,Peru,M
Personal Housing Expenses,725,in_repayment,Vietnam,F
Agriculture,675,paid,Ecuador,F
Food Production/Sales,650,paid,Mali,F
Agriculture,3925,in_repayment,Nicaragua,M
Agriculture,375,paid,Peru,F
Food Production/Sales,225,paid,Mali,F
General Store,375,paid,Peru,F
General Store,900,paid,Peru,M
Agriculture,550,paid,Peru,M
Grocery Store,200,paid,Peru,F
Cereals,175,paid,Togo,F
Clothing Sales,2350,paid,Burundi,M
Grocery Store,200,paid,Peru,F
Cattle,725,paid,Peru,M
Home Products Sales,150,paid,Togo,F
Bakery,1075,in_repayment,Peru,M
Retail,225,paid,Peru,F
Fruits & Vegetables,1300,paid,Ecuador,F
Catering,1075,in_repayment,Peru,M
Fish Selling,725,in_repayment,Peru,M
Higher education costs,200,paid,Colombia,F
Personal Housing Expenses,350,in_repayment,El Salvador,F
Animal Sales,525,paid,Tajikistan,M
Construction Supplies,950,paid,Yemen,F
Livestock,625,paid,Tajikistan,F
Fruits & Vegetables,225,paid,Philippines,F
Fruits & Vegetables,225,paid,Philippines,F
Auto Repair,975,in_repayment,Nicaragua,M
Food Production/Sales,400,in_repayment,Nicaragua,F
Charcoal Sales,225,paid,Philippines,F
Farming,400,paid,Philippines,F
General Store,675,paid,Philippines,F
Charcoal Sales,650,paid,Philippines,F
Fish Selling,225,paid,Philippines,F
Farming,300,in_repayment,Kyrgyzstan,F
Livestock,1500,in_repayment,Vietnam,F
Cattle,1425,in_repayment,Vietnam,F
Food Production/Sales,125,paid,Philippines,F
Livestock,1850,in_repayment,Kyrgyzstan,F
Livestock,500,paid,El Salvador,M
Grocery Store,700,in_repayment,Nicaragua,M
Higher education costs,400,paid,Cambodia,M
Cattle,750,in_repayment,Tajikistan,F
Embroidery,2025,in_repayment,Guatemala,F
Pigs,1875,paid,Indonesia,F
Food Production/Sales,350,paid,Philippines,F
Services,1575,in_repayment,Vietnam,F
Poultry,2150,in_repayment,Vietnam,F
Personal Housing Expenses,700,in_repayment,Mongolia,M
Food Production/Sales,3225,in_repayment,Vietnam,F
Higher education costs,125,in_repayment,Philippines,M
Pigs,425,paid,Philippines,F
Fishing,200,paid,Philippines,F
Higher education costs,175,in_repayment,Philippines,F
Food Production/Sales,150,paid,Philippines,F
Fishing,100,paid,Philippines,F
General Store,75,paid,Philippines,F
Fishing,125,paid,Philippines,F
Pigs,225,paid,Philippines,F
General Store,625,paid,Philippines,F
Personal Housing Expenses,750,in_repayment,Cambodia,F
Higher education costs,125,in_repayment,Philippines,F
Higher education costs,125,in_repayment,Philippines,M
General Store,1075,in_repayment,Peru,F
General Store,225,paid,Philippines,F
General Store,225,paid,Philippines,F
General Store,225,paid,Philippines,F
Pigs,200,paid,Philippines,F
Fishing,200,paid,Philippines,F
Fishing,225,paid,Philippines,F
Food Production/Sales,175,paid,Philippines,F
Fruits & Vegetables,225,paid,Peru,F
Poultry,2150,in_repayment,Vietnam,F
Sewing,2150,in_repayment,Vietnam,F
Rickshaw,550,paid,Peru,M
General Store,650,paid,Philippines,F
Fruits & Vegetables,275,paid,Philippines,F
Transportation,375,in_repayment,Peru,M
Higher education costs,225,paid,Colombia,M
Higher education costs,1500,in_repayment,Paraguay,F
Agriculture,2575,in_repayment,Guatemala,F
Personal Housing Expenses,1500,in_repayment,Cambodia,F
Higher education costs,1150,paid,Paraguay,M
Higher education costs,250,in_repayment,Paraguay,M
Higher education costs,250,in_repayment,Paraguay,M
Natural Medicines,300,paid,El Salvador,F
Higher education costs,700,in_repayment,Paraguay,M
Sewing,1475,paid,Colombia,F
Farming,1200,in_repayment,El Salvador,M
Agriculture,1025,in_repayment,El Salvador,M
Taxi,1075,defaulted,Peru,M
Personal Housing Expenses,1000,paid,Cambodia,F
Farming,175,paid,Philippines,F
Motorcycle Transport,450,in_repayment,Philippines,F
Services,275,paid,Philippines,F
General Store,350,paid,Philippines,F
Retail,400,in_repayment,Nicaragua,F
General Store,1600,paid,El Salvador,F
Cattle,700,in_repayment,Ecuador,F
Pigs,250,paid,Philippines,F
Agriculture,400,in_repayment,El Salvador,M
Agriculture,600,in_repayment,El Salvador,M
General Store,600,in_repayment,Nicaragua,F
Fish Selling,350,paid,Philippines,F
Bakery,675,paid,Philippines,F
General Store,675,paid,Philippines,F
General Store,500,in_repayment,Philippines,F
Used Clothing,375,in_repayment,Kenya,F
Fruits & Vegetables,550,paid,Philippines,F
Food Production/Sales,675,in_repayment,Philippines,F
Bakery,650,in_repayment,Samoa,F
Food Production/Sales,350,paid,Philippines,F
Fruits & Vegetables,350,paid,Philippines,F
Retail,500,in_repayment,Kenya,M
Retail,250,in_repayment,Kenya,M
Dairy,350,in_repayment,India,M
Grocery Store,300,in_repayment,India,M
Dairy,350,in_repayment,India,F
Cosmetics Sales,250,in_repayment,India,F
Dairy,250,in_repayment,India,F
Natural Medicines,675,in_repayment,Philippines,F
Livestock,1200,in_repayment,Uganda,F
Agriculture,200,paid,Peru,M
Party Supplies,400,paid,El Salvador,F
Animal Sales,1075,paid,Peru,F
Agriculture,375,paid,Peru,F
Agriculture,1050,in_repayment,Honduras,F
Fruits & Vegetables,725,paid,Peru,F
Bakery,550,paid,El Salvador,M
Barber Shop,1000,in_repayment,El Salvador,M
Food Production/Sales,1025,in_repayment,El Salvador,F
Cosmetics Sales,1075,in_repayment,Mali,F
Agriculture,600,in_repayment,Nicaragua,M
Food Production/Sales,650,in_repayment,Mali,F
Primary/secondary school costs,400,in_repayment,The Democratic Republic of the Congo,M
Retail,1075,in_repayment,Mali,F
Retail,2425,paid,Burundi,F
Weaving,275,paid,Philippines,F
Cereals,375,in_repayment,Philippines,F
Livestock,800,in_repayment,Armenia,F
Cattle,600,in_repayment,Kenya,F
Restaurant,1200,in_repayment,Uganda,F
Personal Products Sales,275,paid,Philippines,F
Poultry,875,in_repayment,Georgia,F
General Store,600,paid,El Salvador,F
Food,325,paid,Uganda,F
Farming,450,in_repayment,Samoa,F
